ID,Financial Stage,Founded Year,Year Joined
UC_248,None,2014,2021
UC_249,None,2014,2021
UC_250,None,2014,2021
UC_251,None,2014,2022
UC_252,None,2019,2021
UC_253,None,2016,2021
UC_254,None,2017,2021
UC_255,None,2016,2018
UC_256,None,2006,2020
UC_257,None,2011,2021
UC_258,None,2007,2020
UC_259,None,2011,2015
UC_260,None,2012,2017
UC_261,None,2012,2017
UC_262,Divestiture,1992,2017
UC_263,Divestiture,2013,2018
UC_264,None,2014,2018
UC_265,None,2011,2019
UC_266,None,2013,2019
UC_267,None,2011,2019
UC_268,None,2015,2020
UC_269,None,2013,2020
UC_270,None,2013,2021
UC_271,None,2017,2021
UC_272,None,2003,2021
UC_273,None,2014,2019
UC_274,None,2010,2021
UC_275,None,2007,2016
UC_276,None,2015,2021
UC_277,None,2013,2021
UC_278,None,2014,2021
UC_279,None,2010,2018
UC_280,None,2014,2021
UC_281,None,2020,2021
UC_282,None,2019,2021
UC_283,None,2015,2021
UC_284,None,2011,2021
UC_285,None,2017,2021
UC_286,None,2014,2020
UC_287,None,2012,2020
UC_288,None,2017,2021
UC_289,None,2017,2022
UC_290,None,2015,2021
UC_291,None,2016,2021
UC_292,None,2015,2021
UC_293,None,2011,2019
UC_294,None,2015,2019
UC_295,Acquired,2017,2019
UC_296,None,2014,2019
UC_297,None,2018,2020
UC_298,None,2018,2021
UC_299,None,2012,2021
UC_300,None,2021,2021
UC_301,None,2014,2016
UC_302,None,2012,2021
UC_303,None,2014,2019
UC_304,None,2016,2018
UC_305,None,2013,2015
UC_306,None,2015,2018
UC_307,None,2015,2021
UC_308,None,2019,2021
UC_309,None,2014,2021
UC_310,None,2014,2021
UC_311,None,2009,2018
UC_312,None,2008,2021
UC_313,None,2009,2020
UC_314,None,2013,2021
UC_315,None,2013,2021
UC_316,None,2013,2019
UC_317,None,2015,2021
UC_318,None,2015,2021
UC_319,IPO,2007,2018
UC_320,None,2012,2021
UC_321,None,2004,2017
UC_322,None,2016,2018
UC_323,None,2003,2019
UC_324,None,2017,2021
UC_325,Acquired,2008,2019
UC_326,None,2016,2021
UC_327,None,2015,2021
UC_328,None,2015,2020
UC_329,None,2019,2021
UC_330,None,2015,2021
UC_331,None,2013,2021
UC_332,None,2018,2021
UC_333,None,2008,2022
UC_334,None,2016,2022
UC_335,None,2017,2021
UC_336,None,2018,2021
UC_337,None,2012,2019
UC_338,None,2014,2017
UC_339,None,2014,2021
UC_340,None,2013,2015
UC_341,None,2008,2019
UC_343,None,2013,2021
UC_344,None,2013,2021
UC_345,None,2014,2020
UC_346,None,2017,2021
UC_347,None,2014,2021
UC_348,None,2012,2021
UC_349,None,2009,2021
UC_350,None,2009,2015
UC_351,None,2019,2020
UC_352,None,2013,2020
UC_353,None,2014,2015
UC_354,None,2013,2019
UC_355,None,2010,2020
UC_356,None,2014,2020
UC_357,None,2015,2021
UC_358,None,2005,2021
UC_359,None,2013,2021
UC_360,None,2019,2022
UC_361,None,2015,2018
UC_362,None,2012,2021
UC_363,None,2013,2021
UC_364,Acquired,2016,2018
UC_365,None,2001,2019
UC_366,None,2015,2021
UC_367,None,2014,2021
UC_368,None,2012,2019
UC_369,None,2012,2021
UC_370,None,2011,2020
UC_371,None,2006,2022
UC_372,None,2009,2022
UC_373,None,2005,2019
UC_374,None,2018,2022
UC_375,None,2013,2020
UC_376,Divestiture,2012,2018
UC_377,None,2009,2021
UC_378,None,2007,2021
UC_379,None,2013,2021
UC_380,None,2010,2020
UC_381,None,2016,2020
UC_382,None,2012,2021
UC_383,None,2014,2021
UC_384,None,2017,2021
UC_385,None,2016,2021
UC_386,None,2013,2021
UC_387,None,2005,2018
UC_388,None,2011,2022
UC_389,None,1999,2012
UC_390,None,1973,2012
UC_392,None,2006,2015
UC_393,None,2013,2016
UC_394,None,2009,2017
UC_395,None,2012,2017
UC_396,None,2014,2018
UC_397,None,2011,2018
UC_398,None,2015,2018
UC_399,None,2012,2019
UC_400,None,2000,2019
UC_401,None,2010,2019
UC_402,None,2007,2019
UC_403,None,2011,2019
UC_404,None,2011,2020
UC_405,None,2014,2020
UC_406,None,2011,2020
UC_407,None,2015,2020
UC_408,None,2017,2020
UC_409,None,2015,2020
UC_410,None,2001,2020
UC_411,None,2001,2021
UC_412,None,2017,2021
UC_413,None,1999,2021
UC_414,None,2015,2021
UC_415,None,2013,2021
UC_416,None,2014,2021
UC_417,None,2010,2021
UC_418,None,2019,2021
UC_419,None,2016,2022
UC_420,None,2002,2021
UC_421,None,2019,2021
UC_422,None,2013,2021
UC_423,None,2013,2021
UC_424,None,2012,2021
UC_425,None,2013,2019
UC_426,None,2011,2021
UC_427,None,2015,2020
UC_428,None,2012,2019
UC_429,None,2014,2021
UC_430,None,2017,2021
UC_431,None,2012,2020
UC_432,None,2018,2021
UC_433,None,2014,2021
UC_434,None,2012,2019
UC_435,None,2018,2021
UC_436,None,2016,2021
UC_437,None,2016,2021
UC_438,None,2016,2021
UC_439,None,2018,2021
UC_440,None,2010,2014
UC_441,None,2018,2021
UC_442,None,2016,2021
UC_443,None,2021,2021
UC_444,None,2015,2021
UC_445,None,2010,2021
UC_446,None,2018,2021
UC_447,None,2016,2021
UC_448,None,2018,2021
UC_450,None,2017,2021
UC_451,None,2015,2021
UC_452,None,2011,2021
UC_453,None,2015,2022
UC_454,None,2015,2021
UC_455,None,2014,2022
UC_456,None,2011,2022
UC_457,None,2015,2021
UC_458,None,2014,2021
UC_459,None,2012,2021
UC_460,None,2011,2017
UC_462,None,2010,2021
UC_463,None,2014,2021
UC_464,None,2017,2021
UC_465,None,2015,2019
UC_466,None,2000,2021
UC_467,None,2000,2021
UC_468,None,2005,2013
UC_469,None,2007,2015
UC_470,None,2012,2021
UC_471,None,2014,2021
UC_472,None,2013,2019
UC_473,None,2016,2021
UC_474,None,2017,2018
UC_475,None,2011,2021
UC_476,None,2015,2021
UC_477,None,2019,2021
UC_478,None,2014,2015
UC_479,Reverse,2013,2018
UC_480,None,2007,2018
UC_482,None,2013,2021
UC_483,None,2014,2021
UC_484,None,2011,2021
UC_486,None,2009,2021
UC_487,None,2016,2021
UC_488,None,2011,2021
UC_489,None,2011,2021
UC_490,None,2015,2021
UC_491,None,2015,2021
UC_492,None,2014,2022
UC_493,None,2019,2022
UC_494,None,2016,2021
UC_495,Divestiture,2014,2019
UC_496,None,2015,2021
UC_497,None,2015,2021
UC_498,None,2010,2018
UC_499,None,2020,2022
UC_500,None,2018,2022
UC_502,None,2016,2021
UC_503,None,2011,2015
UC_504,None,2006,2017
UC_505,None,2015,2018
UC_506,None,2016,2020
UC_507,None,2012,2021
UC_508,None,2015,2021
UC_509,None,2008,2021
UC_510,None,2004,2021
UC_511,None,2004,2021
UC_512,None,2016,2021
UC_513,None,2014,2021
UC_514,None,2013,2021
UC_515,None,2019,2021
UC_516,None,2012,2021
UC_517,None,2016,2021
UC_518,None,2007,2019
UC_519,None,2019,2022
UC_520,None,1979,2016
UC_521,None,2015,2019
UC_522,None,2015,2021
UC_523,None,2013,2021
UC_524,None,2016,2021
UC_525,None,2012,2017
UC_527,None,2004,2013
UC_528,Acquired,2011,2015
UC_529,None,2009,2016
UC_530,None,2010,2016
UC_531,None,2015,2017
UC_533,None,2012,2017
UC_534,None,2008,2018
UC_535,None,2014,2018
UC_536,None,2010,2018
UC_537,None,2013,2019
UC_538,None,2009,2020
UC_539,None,2010,2020
UC_540,None,2016,2021
UC_542,None,2010,2021
UC_543,None,2012,2021
UC_544,None,2017,2021
UC_545,None,2014,2021
UC_546,None,2018,2021
UC_547,None,2015,2021
UC_548,None,2008,2021
UC_549,None,2010,2021
UC_550,None,2015,2021
UC_551,None,2011,2021
UC_552,None,2018,2021
UC_553,None,2020,2021
UC_554,None,2017,2021
UC_555,None,2011,2021
UC_556,None,2018,2021
UC_557,None,2019,2021
UC_558,None,2013,2021
UC_559,None,2014,2021
UC_560,None,2015,2021
UC_561,None,2021,2021
UC_562,None,2011,2021
UC_563,None,2017,2021
UC_564,None,2016,2021
UC_565,None,2016,2021
UC_566,None,2016,2021
UC_567,None,2015,2021
UC_568,None,2016,2021
UC_569,None,2020,2021
UC_570,None,2012,2022
UC_571,None,2018,2022
UC_572,None,2015,2022
UC_573,None,2015,2022
UC_574,None,2016,2022
UC_575,None,2016,2022
UC_576,None,2016,2021
UC_577,None,2019,2022
UC_578,None,2017,2022
UC_579,None,2017,2019
UC_580,None,2016,2019
UC_581,None,2006,2018
UC_582,None,2011,2018
UC_583,None,2015,2019
UC_584,None,2012,2020
UC_585,None,2015,2021
UC_586,None,2015,2021
UC_587,None,2019,2022
UC_588,None,2016,2021
UC_589,None,2012,2020
UC_590,None,2014,2021
UC_591,None,2016,2021
UC_592,None,2018,2021
UC_593,None,2013,2022
UC_594,None,2018,2022
UC_595,None,2013,2022
UC_596,None,2019,2022
UC_597,None,2010,2014
UC_598,None,2014,2017
UC_599,None,2021,2017
UC_600,None,2011,2018
UC_601,None,2015,2018
UC_602,Acquired,2007,2018
UC_603,None,2015,2019
UC_604,None,2007,2020
UC_605,None,2009,2021
UC_606,None,2011,2021
UC_607,None,2011,2021
UC_609,None,1984,2021
UC_610,None,2015,2021
UC_611,None,2011,2021
UC_612,None,2011,2021
UC_613,None,2012,2021
UC_614,None,2015,2021
UC_615,None,2014,2021
UC_616,None,2014,2021
UC_617,None,2018,2021
