ID,Industry
UC_262,Fintech
UC_263,Fintech
UC_264,Edtech
UC_265,"Supply chain, logistics, & delivery"
UC_266,Auto & transportation
UC_267,Other
UC_268,Edtech
UC_269,Cybersecurity
UC_270,Internet software & services
UC_271,Fintech
UC_272,Internet software & services
UC_273,Health
UC_274,Internet software & services
UC_275,Edtech
UC_276,Health
UC_277,Internet software & services
UC_278,Internet software & services
UC_279,Internet software & services
UC_280,Internet software & services
UC_281,E-commerce & direct-to-consumer
UC_282,Internet software & services
UC_283,Edtech
UC_284,Fintech
UC_285,Fintech
UC_286,Internet software & services
UC_287,Auto & transportation
UC_288,Fintech
UC_289,Fintech
UC_290,Internet software & services
UC_291,Fintech
UC_292,"Tiger Global Management, Tiger Brokers, DCM Ventures"
UC_293,Fintech
UC_294,Artificial intelligence
UC_295,Fintech
UC_296,Internet software & services
UC_297,E-commerce & direct-to-consumer
UC_298,Fintech
UC_299,Fintech
UC_300,E-commerce & direct-to-consumer
UC_301,Mobile & telecommunications
UC_302,Internet software & services
UC_303,"Supply chain, logistics, & delivery"
UC_304,Artificial intelligence
UC_305,Cybersecurity
UC_306,"Supply chain, logistics, & delivery"
UC_307,Edtech
UC_308,Mobile & telecommunications
UC_309,Cybersecurity
UC_310,Auto & transportation
UC_311,Fintech
UC_312,Internet software & services
UC_313,Artificial intelligence
UC_314,E-commerce & direct-to-consumer
UC_315,Internet software & services
UC_316,Internet software & services
UC_317,Internet software & services
UC_318,"Jungle Ventures, Accel, Venture Highway"
UC_319,Internet software & services
UC_320,Data management & analytics
UC_321,Other
UC_322,Auto & transportation
UC_323,Cybersecurity
UC_324,Internet software & services
UC_325,E-commerce & direct-to-consumer
UC_326,E-commerce & direct-to-consumer
UC_327,Fintech
UC_328,Cybersecurity
UC_329,Cybersecurity
UC_330,Internet software & services
UC_331,Cybersecurity
UC_332,Internet software & services
UC_333,Artificial Intelligence
UC_334,Health
UC_335,Fintech
UC_336,Internet software & services
UC_337,Cybersecurity
UC_338,Fintech
UC_339,Auto & transportation
UC_340,Hardware
UC_341,Fintech
UC_343,Cybersecurity
UC_344,Cybersecurity
UC_345,Fintech
UC_346,Other
UC_347,"Supply chain, logistics, & delivery"
UC_348,Fintech
UC_349,Internet software & services
UC_350,E-commerce & direct-to-consumer
UC_351,Hardware
UC_352,Other
UC_353,Artificial intelligence
