ID,Investors Count,Select Inverstors,Total Raised($)
UC_82,13,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",5830000000.0
UC_83,13,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",1040000000.0
UC_84,15,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",4000000000.0
UC_85,16,"Tencent, Morningside Group",1786000000.0
UC_86,28,"Benchmark, Greylock Partners, Tencent Holdings",979300000.0
UC_87,27,"Initialized Capital, General Catalyst, SignalFire",1026999999.9999999
UC_88,8,"General Atlantic, Goldman Sachs, New Enterprise Associates",8400000000.0
UC_89,30,"Slack Fund, Accel, Skip Capital",920140000.0
UC_90,12,"Sequoia Capital China, Warburg Pincus, General Catalyst",2121000000.0
UC_91,7,"TA Associates, SoftBank Group, GS Growth",149500000.0
UC_92,12,Technology Crossover Ventures,934320000.0
UC_93,15,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",447120000.0
UC_95,36,"New Enterprise Associates, Accomplice, IA Ventures",1089000000.0
UC_96,17,"Global Founders Capital, Nortzone Ventures, Picus Capital",524830000.00000006
UC_97,23,"Union Square Ventures, Ribbit Capital, VY Capital",562500000.0
UC_98,13,"Atomico, Insight Partners, Coatue Management",853850000.0
UC_99,1,Barter Ventures,6450000000.0
UC_100,29,"Thrive Capital, Benchmark, MenloVentures",4120000000.0
UC_101,32,"Warmsun Holding, IDG Capital Partners",1414000000.0
UC_102,2,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",1420000.0
UC_103,10,"Insight Partners, Sequoia Capital, Index Ventures",6000000000.0
UC_104,28,"BlackRock, Blackstone, UBS",729220000.0
UC_105,25,"Sequoia Capital India, Temasek, PayPal Ventures",1077000000.0
UC_106,19,"Venrock, Battery Ventures, Insight Partners",4240000000.0
UC_107,12,"NextView Ventures, Eniac Ventures, Sequoia Capital",864520000.0
UC_108,12,"Alibaba Group, Boyu Capital, Borui Capital",2085000000.0
UC_109,15,"Tencent, Baidu, Huasheng Capital",1701000000.0
UC_110,14,"Technology Crossover Ventures, A&E Television Networks",1555000000.0
UC_111,17,"Thrive Capital, Maverick Ventures, Redpoint Ventures",891300000.0
UC_112,11,"Battery Ventures, Storm Ventures, Redpoint Ventures",4150000000.0
UC_113,12,"Aglae Ventures, Eurazeo, Daphni",1020999999.9999999
UC_114,4,"Blackstone, Technology Crossover Ventures, Summit Partners",792360000.0
UC_115,8,"Nexus Venture Partners, CRV, Insight Partners",4330000000.0
UC_116,8,"Matrix Partners, Andreessen Horowitz, General Catalyst",728020000.0
UC_117,25,"Sequoia Capital China, IDG Capital, DCM Ventures",1093000000.0
UC_118,7,"Founders Fund. Accel, Creandum",986880000.0
UC_119,35,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",2248000000.0
UC_120,13,"Index Ventures, Battery Ventures, ICONIQ Capital",595900000.0
UC_121,22,"Lightspeed Venture Partners, Google Ventures, Lakestar",490500000.0
UC_122,5,Insight Partners,937290000.0
UC_123,16,"Kaszek Ventures, General Atlantic, SoftBank Group",755740000.0
UC_125,6,"China Life Insurance, China Development Bank Capital, CITIC Securities International",5000000000.0
UC_126,13,"Ant Financial Services Group, GGV Capital",2701000000.0
UC_127,19,"Andreessen Horowitz, Spark Capital, Y Combinator",625150000.0
UC_128,23,"DST Global, Sequoia Capital China, Tencent Holdings",8020000000.0
UC_129,10,"Runa Capital, Acton Capital Partners, Point Nine Capital",445510000.0
UC_130,56,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",2200000000.0
UC_131,35,"Baidu Capital, Linear Venture, Tencent",5987000000.0
UC_132,4,"General Atlantic, 3i Group, Huagai Capital",187260000.0
UC_133,10,"Walden International, Google Ventures, Intel Capital",1132000000.0
UC_134,9,"Accel, Technology Crossover Ventures, LeapFrog Investments",6920000000.0
UC_135,10,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management",990520000.0
UC_136,10,"Insight Partners, Andalusian Capital Partners",990520000.0
UC_137,14,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",855550000.0
UC_138,17,"Google Ventures, Benchmark, FirstMark Capital",632850000.0
UC_139,17,"Alven Capital, Valar Ventures, Tencent Holdings",703390000.0
UC_140,20,"SoftBank Group, Tiger Global Management, Matrix Partners India",822290000.0
UC_141,12,"Eight Roads Ventures, Greycroft, Ignition Partners",371500000.0
UC_142,18,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",614200000.0
UC_143,26,"Venture Highway, Sequoia Capital India, Prosus Ventures",1061000000.0
UC_144,1,"Oak HC/FT Partners, Artis Ventures, WestCap Group",0.0
UC_145,25,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",867440000.0
UC_147,16,"Creandum, Founders, Kinnevik",428800000.0
UC_148,14,"Andreessen Horowitz, Founders Fund, Revolution Ventures",828500000.0
UC_149,22,"Greylock Partners, Venrock, Providence Ventures",906130000.0
UC_150,16,"Alven Capital, FirstMark Capital, capitalG",646600000.0
UC_151,24,"Y Combinator, Accel, T. Rowe Price",5590000000.0
UC_152,25,"General Catalyst, Viking Global Investors, T. Rowe Price",496040000.0
UC_153,4,"Telling Telecommunication Holding Co., Alibaba Group",943100000.0
UC_154,9,"Accel, Insight Partners, Burda Principal Investments",562230000.0
UC_155,12,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",975490000.0
UC_156,22,"Two Sigma Ventures, Flint Capital, Commerce Ventures",648250000.0
UC_157,2,"Passion Capital, Thrive Capital, Orange Digital Ventures",0.0
UC_158,22,"CDH Investments, Goldstone Investments, Qiming Venture Partners",645600000.0
UC_159,27,"Mayfield Fund, M12, Trinity Ventures",489780000.0
UC_160,30,"Atop Capital, IDInvest Partners, Qiming Venture Partners",7890000000.0
UC_161,18,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",566900000.0
UC_162,14,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",498250000.0
UC_163,24,"Benchmark, Accel, SoftBank Group",737080000.0
UC_164,35,"Playground Global, Bond, Tribe Capital",1385000000.0
UC_165,21,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",971140000.0
