total_raised,founded_year,year_joined
3435000000.0,2014,2018
1361000000.0,2011,2019
1211000000.0,2013,2019
1800000000.0,2011,2019
479910000.0,2015,2020
5250000000.0,2013,2020
350550000.0,2013,2021
512750000.0,2017,2021
3600000000.0,2003,2021
986300000.0,2014,2019
1660000000.0,2010,2021
481500000.0,2007,2016
523180000.0,2015,2021
3310000000.0,2013,2021
330340000.0,2014,2021
426500000.0,2010,2018
330230000.0,2014,2021
1335000000.0,2020,2021
1610000000.0,2019,2021
240020000.0,2015,2021
339370000.0,2011,2021
399890000.0,2017,2021
422220000.0,2014,2020
697060000.0,2012,2020
4870000000.0,2017,2021
486500000.0,2017,2022
329320000.0,2015,2021
474710000.0,2016,2021
3280000000.0,2015,2021
18570000.0,2011,2019
1250000000.0,2015,2019
1160000000.0,2017,2019
752500000.0,2014,2019
7880000000.0,2018,2020
702250000.0,2018,2021
537710000.0,2012,2021
1042000000.0,2021,2021
651600000.0,2014,2016
8120000000.0,2012,2021
487160000.0,2014,2019
6820000000.0,2016,2018
557150000.0,2013,2015
675460000.0,2015,2018
461400000.0,2015,2021
467200000.0,2019,2021
5830000000.0,2014,2021
3146000000.0,2014,2021
1103000000.0,2009,2018
207500000.0,2008,2021
4200000000.0,2009,2020
708730000.0,2013,2021
2230000000.0,2013,2021
359170000.0,2013,2019
712930000.0,2015,2021
470710000.0,2015,2021
1330000000.0,2007,2018
418450000.0,2012,2021
418450000.0,2004,2017
1208000000.0,2016,2018
427510000.0,2003,2019
262820000.0,2017,2021
675900000.0,2008,2019
381400000.0,2016,2021
991330000.0,2015,2021
5120000000.0,2015,2020
561820000.0,2019,2021
3130000000.0,2015,2021
728200000.0,2013,2021
656670000.0,2018,2021
626630000.0,2008,2022
4650000000.0,2016,2022
6080000000.0,2017,2021
377700000.0,2018,2021
713620000.0,2012,2019
535860000.0,2014,2017
125580000.0,2014,2021
6920000000.0,2013,2015
633780000.0,2008,2019
3900000000.0,2013,2021
3900000000.0,2013,2021
711730000.0,2014,2020
483500000.0,2017,2021
928800000.0,2014,2021
477270000.0,2012,2021
1072000000.0,2009,2021
486650000.0,2009,2015
288220000.0,2019,2020
569950000.0,2013,2020
3170000000.0,2014,2015
417300000.0,2013,2019
2075000000.0,2010,2020
556500000.0,2014,2020
630900000.0,2015,2021
3190000000.0,2005,2021
433700000.0,2013,2021
420890000.0,2019,2022
445690000.0,2015,2018
334340000.0,2012,2021
2770000000.0,2013,2021
0.0,2016,2018
286360000.0,2001,2019
383410000.0,2015,2021
314660000.0,2014,2021
