,Month,Company/Brand,Founded,Headquarters,Sector,Investor/s,Amount ($),Stage
639,July,Digantara,2018.0,Bangalore,SpaceTech,Kalaari Capital,2500000,Seed
640,July,Aqgromalin,2018.0,Chennai,AgriTech,Zephyr Peacock,700000,Seed
641,July,Square Yards,2014.0,Gurugram,Real Estate,ADM Capital,25000000,Pre-series B
644,July,NirogGyan,2019.0,Gurugram,Healthcare,"Healthcare veterans, PIEDS",Undisclosed,Seed
646,July,Bikry app,2019.0,Noida,Consumer software,YCombinator,1300000,Pre-series B
647,July,Oliveboard,2012.0,Bangalore,EdTech,IAN Fund,3000000,Pre-series B
648,July,Little Leap,2020.0,New Delhi,EdTech,"Vishal Gupta , ah! Ventures",300000,
650,July,Kredent,2008.0,Kolkata,EdTech,Kotak Securities,1000000,Pre-series B
651,July,EasyAspataal,2020.0,Mumbai,Healthcare,Venture Catalysts,500000,Seed
653,July,Pankhuri,2019.0,Bangalore,Social community,Sequoia’s Surge,3200000,Pre-series B
655,July,AdmitKard,2016.0,Noida,EdTech,,1000000,Pre-series A
657,July,Aquaconnect,2017.0,Chennai,Fishery,"Rebright Partners, Flourish Ventures",4000000,Pre-series A
659,July,LetsDressUp,2019.0,Gurugram,Apparel & Fashion,"Titan Capital, Sequoia Capital",300000,Pre-series A
661,July,BHyve,2020.0,Mumbai,Human Resources,"Omkar Pandharkame, Ketaki Ogale , ITO Angel Network, LetsVenture",300000,
662,July,Indi Energy,2019.0,Roorkee,Renewables & Environment,Mumbai Angels Network,Undisclosed,Seed
664,July,Pratilipi,2015.0,Bangalore,Online storytelling,"Krafton Inc, Omidyar",48000000,Pre-series B
666,July,peAR,2018.0,Mumbai,Deeptech,Inflection Point Ventures,300000,Pre-series A
667,July,Gourmet Garden,2019.0,Bangalore,Farming,"Beyond Next Ventures, M Venture Partners",3000000,Pre-series B
668,July,The Sleep Company,2019.0,Mumbai,Consumer Goods,Fireside Ventures,1000000,Pre-series A
669,July,TyrePlex,2020.0,New Delhi,B2B E-commerce,AdvantEdge Founders,Undisclosed,Seed
670,July,ION Energy,2016.0,Mumbai,Automotive,,3600000,Pre-series A
671,July,Digit Insurance,2016.0,Bangalore,Insuretech,"Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers",200000000,Pre-series B
672,July,FRAAZO,2020.0,Mumbai,Food & Beverages,"Sixth Sense Ventures, NABVENTURES",11000000,Series A
674,July,WinZO,2018.0,New Delhi,Gaming,Griffin Gaming Partners,65000000,Series C
675,July,Furlenco,2012.0,Bangalore,Consumer Goods,Zinnia Global,100000000,Pre-series B
676,July,Skylark Drones,2014.0,Bangalore,Aviation,"InfoEdge Ventures, IAN Fund",3000000,Pre-series A
677,July,Leegality,2016.0,Gurugram,IT company,"IIFL, Mumbai Angels",Undisclosed,Pre-series A
679,July,TWID,2020.0,Bangalore,FinTech,"BEENEXT, Sequoia’s Surge",2500000,Pre-series B
680,July,PeakPerformer,2020.0,Bangalore,EdTech,Antler India,Undisclosed,Pre-seed
681,July,MyMobiForce,2018.0,Noida,Internet,Bharat Inclusion,1400000,Pre-series A
683,July,Genworks Health,2015.0,Bangalore,Healthcare,Blacksoil,2000000,Pre-series B
685,July,Neverinstall,2019.0,Bangalore,Information Technology,Speciale Invest,370000,Seed
687,July,BeatO,2015.0,New Delhi,Healthcare,W Health Ventures,5000000,Pre-series B
688,July,Earth Rhythm,2020.0,Gurugram,Cosmetics,Anicut Angel Fund,1200000,Seed
690,July,Rockclimber,2019.0,Bangalore,Food & Beverages,Anand Prakash Sharma,1000000,Pre-series B
691,July,SpEd@home,2020.0,Mumbai,EdTech,,300000,Pre-series B
693,July,Green Soul,2016.0,Ambernath,Consumer Goods,https://velocity.in/,200000,Pre-series B
694,July,Shiprocket,2012.0,New Delhi,Logistics,"March Capital, Tribe Capital",41000000,Series C
695,July,DealShare,2018.0,Bangalore,Retail,Tiger Global,144000000,Pre-series B
697,July,Vahak,2017.0,Bangalore,Transportation,RTP Global,5000000,Pre-series A
