,Month,Company/Brand,Founded,Headquarters,Sector,Investor/s,Amount ($),Stage
922,April,Spintly,2017.0,Goa,Tech Startup,Riso Capital,500000,Pre-series B
923,April,EF Polymer,2018.0,Rajsamand,AgriTech,MTG Ventures,200000,Pre-series B
924,April,boAt,2016.0,New Delhi,Electronics,"Qualcomm Ventures, Warburg Pincus",6000000,Pre-series B
925,April,TruNativ,2019.0,Mumbai,Food & Beverages,9Unicorns,Undisclosed,Seed
926,April,iBus,2010.0,Bangalore,Telecommuncation,Morgan Stanley,21000000,Pre-series B
927,April,Puresh Daily,2019.0,Ranchi,Milk startup,"Alfa Ventures, Agility Venture Partners",100000,Seed
928,April,LearnVern,2016.0,Ahmadabad,EdTech,,1000000,Pre-series B
929,April,LimeChat,2020.0,"Faridabad, Haryana",AI Chatbot,"Stellaris Venture Partners, Ramakant Sharma",7500000,Seed
930,April,Dybo,2019.0,Bangalore,IT ,Spanache,100000,Seed
931,April,moEVing,2021.0,Gurugram,Logistics,,1000000,Seed
932,April,WeWork India,2017.0,Bangalore,Hospitality,,26000000,Pre-series B
933,April,Solethreads,2018.0,Gurugram,Fashion ,"DSG Consumer Partners, Saama Capital",1000000,Series A
934,April,Beldara,2018.0,Mumbai,E-commerce ,Hindustan Media Ventures,7400000,Pre-series B
935,April,CredFlow,2020.0,New Delhi,FinTech,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000,Seed
936,April,Do Your Thng,2018.0,Gurugram,Marketing,"Angelbay Holdings, Faad Network",1500000,Pre-series B
938,April,Legitquest,2017.0,New Delhi,LegalTech,"WaterBridge Ventures, Info Edge",600000,Pre-series B
939,April,Swiggy,2014.0,Bangalore,Food delivery,"Carmignac, Falcon Edge Capital",800000000,Pre-series B
941,April,PlayShifu,2016.0,Bangalore,EdTech,"Chiratae Ventures, Bharat Innovation Fund",17000000,Series B
942,April,Pitstop,2015.0,Bangalore,Automotive,"Acko Technology, Services, LetsVenture",3500000,Pre-series B
943,April,Lendingkart,1999.0,Gujarat,FinTech,"Bertelsmann India Investments, Fullerton Financial Holdings",15000000,Series B
945,April,Karnival,2015.0,Bangalore,SaaS startup,http://100x.vc/,2500000,Seed
946,April,PharmEasy,2015.0,Mumbai,HealthTech,"TPG Growth, Caisse de Depot et Placement du Quebec",350000000,Series C
947,April,WESS,1989.0,Mumbai,Renewable Energy,Centrum Financial Services,2000000,Seed
948,April,ShopSe,2020.0,Mumbai,FinTech,"Chiratae Ventures, BEENEXT",5500000,Pre-series B
951,April,Groww ,2017.0,Bangalore,FinTech,"Tiger Global Management, Y Combinator Continuity Fund",83000000,Series C
953,April,Kudos,2014.0,Pune,FinTech,Marquee fintech founders,Undisclosed,Pre-series A
955,April,Superpro.ai,2019.0,Bangalore,Video communication,"SOSV, Omphalos Ventures India",3000000,Seed
956,April,ShareChat,2015.0,Bangalore,Social Media,"Twitter Ventures, Pawan Munjal",500000000,Pre-series B
957,April,WiT-ACE,2020.0,Gurugram,Skill development,CitiusTech,1000000,Seed
959,April,Alteria Capital,2018.0,Mumbai,FinTech,,150000000000,Series B
960,April,Safexpay,2017.0,Thane,FinTech,"T Choithrams BVI, Ardor",6000000,Pre-series B
962,April,Speciale Invest,2017.0,Bangalore,FinTech,,10000000,Pre-series B
963,April,Eunimart,2016.0,Hyderabad,E-commerce ,"SucSEED Venture Partners, TMT Connekt",700000,Pre-series A
965,April,CareerLabs,2019.0,Bangalore,EdTech,Global Founders Capital,2200000,Pre-series B
967,April,Zoko,2016.0,Bangalore,Tech Startup,Y Combinator,140000000,Seed
968,April,GetWork,2019.0,Gurugram,Recruitment,Artha Venture Fund,200000,Seed
969,April,Easebuzz,2015.0,Pune,E-commerce ,"Jitendra Gupta, Amrish Rau",4000000,Series A
971,April,DusMinute,2017.0,Bangalore,Retail,Indian Angel Network,1100000,Pre-series A
973,March,SkilloVilla,2020.0,Bangalore,EdTech,Titan Capital,300000,Seed
976,March,Happy Jars,2016.0,New Delhi,Food & Beverages,Inflection Point Ventures,400000,Seed
978,March,ExtraaEdge,2015.0,Pune,MarTech,"9Unicorns Accelerator Fund, Indian Angel Network",1000000,Pre-series A
979,March,Zotalabs,2019.0,Pune,Tech Startup,Alfa Ventures,1250000,Seed
980,March,Voiro,2014.0,Bangalore,Advertisement,1Crowd,1800000,Pre-series A
982,March,Safex Chemicals,1991.0,New Delhi,AgriTech,BanyanTree Finance Pvt. Ltd.,50000000,Pre-series B
985,March,Moneyboxx,1994.0,Mumbai,FinTech,"Ashv Finance, BlackSoil Capital",3000000,Series B
987,March,Janani ,2020.0,Bangalore,Heathcare,"Sweta Rau, 9Unicorns Accelerator Fund",1000000,Seed
990,March,DotPe ,2019.0,Gurugram,FinTech,"PayU, Google",27000000,Series A
993,March,Five Star Finance,1984.0,Chennai,FinTech,"TPG Capital Asia, Epiq Capital",234000000,Pre-series B
994,March,Settlrs,2018.0,Bangalore,Rental space,MaGEHold Pte. Ltd.,Undisclosed,Pre-series A
996,March,Annapurna Finance,2009.0,Bhubaneswar,FinTech,"Asian Development Bank, Oman India Joint Investment Fund",30000000,Pre-series B
997,March,HealthPlix,2014.0,Bangalore,HealthCare,"JSW Ventures, Kalaari Capital",13500000,Series B
998,March,Masai School,2019.0,Bangalore,EdTech,"Unitus Ventures, Omidyar Network India",5000000,Series A
1000,March,IndiaLends,2014.0,New Delhi,FinTech,"ACPI Investments, AdvantEdge Founders",5100000,Pre-series B
1001,March,Stelis Biopharma,2007.0,Bangalore,BioTechnology,"RouteOne, Mankekar Family Office",195000000,Series B
1002,March,Tilt ,2016.0,Bangalore,Bike Rental,Y Combinator,125000,Pre-series B
1003,March,NeoDove,2020.0,Jaipur,AI startup,India Quotient,15000000,Seed
1004,March,Zaara Biotech,2016.0,Kottayam,BioTechnology,TCN International Commerce,10000000,Pre-series B
1007,March,Muvin,2020.0,Bangalore,FinTech,,1000000,Seed
1010,March,Jeevam Health,2020.0,New Delhi,Health care,Y Combinator,1500000,Pre-seed
1011,March,NewLink Group,2016.0,Beijing,Tech Startup,Bain Capital,200000000,Pre-series B
1012,March,OZiva,2016.0,Mumbai,Heathcare,"F-Prime Capital, Eight Roads Ventures India",12000000,Series B
1013,March,Blive,2004.0,Panaji,Tourism,"Mumbai Angels, DNA Entertainment Networks",1000000,Pre-series A
1014,March,Nazara Technologies,2000.0,Mumbai,Gaming,"Hornbill Capital Advisers, Plutus Wealth Management",30000000,Pre-series B
1015,March,Euler Motors,2018.0,New Delhi,Automotive,"ADB Ventures, Jetty Ventures",2600000,Series A
1017,March,Prescinto,2016.0,Gujarat,Solar ,"Venture Catalysts, 9Unicorns Accelerator Fund",3500000,Seed
1020,March,Policybazaar,2008.0,Gurugram,Insurance,"Falcon Edge Capital, White Oak Global Advisors",75000000,Pre-series B
1021,March,Livve Homes,2017.0,Bangalore,Rental space,Angel investors,5000000,Pre-series B
1022,March,Juicy Chemistry,2014.0,Coimbatore,Healthcare,Akya Ventures,6300000,Series A
1023,March,Svasti Microfinance,2008.0,Mumbai,FinTech,"Kayenne Ventures, Nordic Microfinance Initiative",4000000,Pre-series B
1024,March,Nexprt,2020.0,New Delhi,Consulting,Titan Capital,2000000,Pre-series B
1026,March,Ankur capital,2011.0,Mumbai,FinTech,,40000000,Pre-series B
1028,March,Firmway,2016.0,Mumbai,FinTech,,Undisclosed,Pre-seed
1029,March,Say Cheese,2020.0,Mumbai,FemTech ,,1000000,Seed
1030,March,Indic Inspirations,2019.0,Pune,Cultural,Marquee investors,300000,Pre-series B
1032,March,YAP,2014.0,Chennai,FinTech,"Jitendra Gupta, Better Capital",10000000,Series B
1034,March,BlackSoil NBFC,2010.0,Mumbai,FinTech,,3000000,Pre-series B
1036,March,Max Healthcare,2000.0,New Delhi,Healthcare,"Radiant Life Care Private Ltd, Life Healthcare",140000000,Pre-series B
1037,March,4baseCare,2018.0,Bangalore,HealthTech,"Mount Judi Ventures, growX Ventures, Season Two Ventures",2000000,Pre-series A
1038,March,Ezstays,2019.0,New Delhi,EdTech,Richard Rekhy,400000,Seed
1039,March,Stylework,2017.0,Gurugram,Co-working,Inflection Point Ventures,500000,Pre-series A
1040,March,Kinara Capital,2011.0,Bangalore,FinTech,"GAWA Capital, Gaja Capital",6000000,Pre-series B
1041,March,Riskcovry,2018.0,Bangalore,InsureTech,"Better Capital, Bharat Inclusion Seed Fund",5000000,Series A
1042,March,NODWIN,2012.0,Gurugram,Gaming,Krafton,20000000,Pre-series B
1043,March,Quizizz,2015.0,Bangalore,EdTech,"Eight Roads Ventures India, Nexus Venture Partners",12500000,Series A
1044,March,Ecom Express,2012.0,New Delhi,E-commerce ,"CDC Group, Partners Group",20000000,Pre-series B
1045,March,Turtlemint,2015.0,Mumbai,InsureTech,Jungle Ventures,45000000,Series C
1048,March,Qoohoo,2020.0,Bangalore,Social platform,Angel investors,800000,Seed
1049,March,IGL,2016.0,Mumbai,Gaming,"Hungama, Hindustan Talkies",500000,Pre-series B
1050,March,AMPM,2018.0,Gurugram,E-commerce ,Agility Venture Partners,200000,Pre-series B
1051,March,The ePlane,2016.0,Chennai,Drone,"Speciale Invest, Farid Ahsan",1000000,Seed
1052,March,Cashify,2009.0,Gurugram,E-commerce ,"Bessemer Venture Partners, CDH Investments",15000000,Pre-series B
1057,March,Blume Ventures,2011.0,Mumbai,FinTech,Avendus,40000000,Pre-series B
1058,March,KoineArth,2018.0,Bangalore,Blockchain startup,YourNest,1800000,Pre-series A
1059,March,ImaginXP,2013.0,Pune,EdTech,Venture Catalysts,1500000,Pre-series B
1061,March,Apna.co ,2019.0,Bangalore,Recruitment,"Sequoia Capital India, Rocketship.vc",12500000,Pre-series B
1062,March,ideaForge,2007.0,Mumbai,Drone,"Infosys, Qualcomm Ventures",2000000,Pre-series B
1063,March,Clairco,2018.0,Bangalore,CleanTech,"Real Estate Accelerator Program (REAP), AngelList",500000,Pre-series B
1065,February,Doubtnut,2016.0,Gurugram,EdTech,"Omidyar Network, Tencent Holdings",30000000,Series B
1067,February,Infra.Market ,2016.0,Thane,Construction,"InnoVen Capital, Nexus Venture Partners",100000000,Series C
1070,February,Kutuki,2017.0,Bangalore,EdTech,Omidyar Network India,2000000,Seed
1072,February,Eupheus,2017.0,New Delhi,EdTech,"Yuj Ventures, Sixth Sense Ventures",4000000,Series B
1074,February,Pencil,2019.0,Mumbai,Content publishing,"Inflection Point Ventures, SucSEED Venture Partners",1000000,Pre-series A
1075,February,Aisle,2014.0,Bangalore,Dating,"Anas Rahman Junaid, Vinod Jose",Undisclosed,Pre-series A
1076,February,Marquee Equity,2016.0,Mumbai,FinTech,"Capital One, Arrowroot Capital",3800000,Pre-series B
1077,February,UptimeAI,2016.0,Bangalore,AI startup,YourNest Venture Capital,1500000,Seed
1078,February,WizKlub,2018.0,Bangalore,EdTech,Incubate Fund India,800000,Pre-series A
1081,February,Pariksha,2015.0,Pune,EdTech,"Venture Catalysts, 9Unicorns Accelerator Fund",2000000,Pre-series A
1082,February,Express Stores,2019.0,Gurugram,E-commerce ,"Venture Highway, Rohit Bansal",1000000,Seed
1083,February,Avataar Ventures,2019.0,Bangalore,FinTech,,100000000,Pre-series B
1085,February,Phable,2017.0,Bangalore,HealthTech,"Fresco Capital, Social Starts",12000000,Series A
1087,February,Supply6,2018.0,Bangalore,Helathcare,"Rohit Goutamchand, India CXO Fund",100000,Seed
1088,February,Swajal,2015.0,Gurugram,Water purification,"Rajasthan Venture Capital Fund, ACPL Exports",1600000,Pre-series A
1090,February,Filo,2020.0,New Delhi,EdTech,Better Capital,260000,Pre-seed
1091,February,Method & Madness,2020.0,Mumbai,Real Estate,Justin Mateen,2000000,Seed
1092,February,EduFund,2020.0,Gujarat,FinTech,View Trade Holding Corp,300000,Pre-seed
1093,February,Pepperfry,2011.0,Mumbai,E-commerce ,"InnoVen Capital, Bertelsmann India Investments",30000000,Series B
1094,February,Zingavita,2020.0,Chandigarh,HealthTech,Anicut Angel Fund,400000,Pre-series B
1095,February,Hypd Store,2020.0,New Delhi,Content commerce,ScoopWhoop,Undisclosed,Pre-seed
1097,February,Supersourcing,2020.0,Indore,Software company,"Vijay Shekhar Sharma, Dr Ritesh Malik",200000,Seed
1098,February,AutomataPi,2017.0,Powai ,Automation,Indian Angel Network,400000,Seed
1099,February,Newton School,2019.0,Bangalore,EdTech,"RTP Global, Harshil Mathur",5000000,Series A
1100,February,TenderCuts,2011.0,Chennai,Food Industry,"Paragon Partners, NABVENTURES",15000000,Pre-series B
1102,February,SarvaGram,2019.0,Mumbai,FinTech,Elevation Capital,10000000,Series B
1103,February,Unlu,2020.0,Gurugram,Celebrity Engagement,EXPERT DOJO,1000000,Seed
1104,February,GlobalFair,2020.0,Gurugram,Trading platform,"Saama Capital, India Quotient",2000000,Seed
1105,February,Eduvanz,2016.0,Mumbai,FinTech,"InCred Financial Services, Vivriti Capital, Northern Arc Capital",10000000,Series B
1106,February,OwO,2020.0,Gurugram,E-commerce ,ah! Ventures,200000,Pre-series B
1108,February,ABL Workspaces,2017.0,New Delhi,Hospitality,Wurk,600000,Pre-series A
1110,February,Scentials,2018.0,Mumbai,Personal Care,"Ambiga Subramanian, Goutham Ekollu",6000000,Pre-series B
1111,February,SplashLearn,2018.0,Gurugram,EdTech,"Accel, Owl Ventures",18000000,Series C
1112,February,Maya,2016.0,Bangalore,HealthTech,Rajan Anadan,2200000,Seed
1113,February,GoTo,2020.0,Ghaziabad,Transportation,Jesse Lucas,150000,Pre-series B
1116,February,Remedico,2017.0,Hyderabad,Healthcare,"Venture Catalysts, Tahseen Consulting",500000,Pre-series B
1119,February,YourPhysio,2020.0,Nagpur,HealthTech,"Better Capital, Titan Capital",350000,Pre-seed
1120,February,Aviom Housing Finance,2016.0,New Delhi,FinTech,Gojo & Company,1000000,Series B
1121,February,Hemp Horizons,2017.0,Noida,Cannabis startup,Mumbai Angels,200000,Seed
1124,February,InnerHour,2016.0,Mumbai,Healthcare,"Hitesh Oberoi, Lightbox",5200000,Series A
1125,February,Origo,2010.0,Gurugram,AgriTech,YES Bank,10000000,Series B
1126,February,ExMyB,2018.0,Gurugram,Consulting,Campus Fund,Undisclosed,Seed
1127,January,Elucidata,2015.0,New Delhi,BioTechnology,Hyperplane Venture Capital,5000000,Pre-series A
1128,January,Saveo,2019.0,Bangalore,HealthTech,"Matrix Partners India, RTP Global",4000000,Seed
1129,January,Qin1,2019.0,Noida,EdTech,Venture Catalysts,Undisclosed,Pre-series A
1130,January,DotPe,2019.0,Gurugram,FinTech,"Info Edge, Ruizheng Investment",8000000,Seed
1131,January,Taskmo,2018.0,Bangalore,B2B Marketplace,Quess Corp India,1400000,Pre-series B
1132,January,MasterMentors,2019.0,West Bengal,EdTech,,1500000,Pre-series B
1133,January,KIKO TV,2020.0,Mumbai,E-commerce ,"Sunil Kumar Singhvi, 9Unicorns Accelerator Fund",Undisclosed,Pre-series A
1134,January,Quali55Care,2018.0,Mumbai,Health care,India Accelerator’s Angel Investor Network,Undisclosed,Seed
1137,January,SeeVC,2020.0,New Delhi,Tech Startup,Jimmy Singh,1000000,Seed
1139,January,VenWiz,2020.0,Bangalore,B2B service,"Accel, Nexus Venture",300000,Seed
1140,January,Vista Rooms,2015.0,Mumbai,Hospitality,"Singapore Angel Network, Artha India Ventures",1000000,Pre-series B
1141,January,Makers Hive,2018.0,Hyderabad,Tech Startup,"Starfish Growth Partners, Investpad",9000000,Pre-series B
1142,January,Headfone,2017.0,Bangalore,Social audio ,Hashed,3000000,Seed
1143,January,Zouk,2016.0,Mumbai,Fashion and lifestyle,Titan Capital,Undisclosed,Seed
1145,January,GrowFix,2020.0,Bangalore,FinTech,"Zerodha's Rainmatter Capital, Better Capital",2000000,Seed
1147,January,Dunzo,2015.0,Bangalore,Delivery service,"Lightbox, Evolvence India Fund",40000000,Series C
1148,January,BeyondSkool,2020.0,Mumbai,EdTech,Tomorrow Capital,2000000,Seed
1149,January,Mindler,2015.0,New Delhi,EdTech,"Inflection Point Ventures, DLabs",1000000,Pre-series A
1152,January,Turnip,2020.0,Bangalore,Gaming,Elevation Capital,1600000,Seed
1154,January,Inficold,2015.0,New Delhi,Solar ,Shell Foundation,900000,Pre-series A
1155,January,KIWI,2020.0,New Delhi,TaaS startup,"PointOne Capital, Core91 VC",250000,Seed
1159,January,Udayy,2019.0,Gurgaon,EdTech,Alpha Wave Incubation,2500000,Seed
1160,January,Lohum,2017.0,Noida,EV startup,"Baring Private Equity Partners India, Talbros",7000000,Pre-series B
1161,January,Darwinbox,2015.0,Hyderabad,HR Tech,"Sequoia Capital India, 3one4 Capital",15000000,Pre-series B
1163,January,Samunnati,2014.0,Chennai,AgriTech,"U.S. International Development Finance Corp, responsAbility",10000000,Series B
1165,January,True Elements,2011.0,Pune,Food and Beverages,RP-Sanjiv Goenka Group,1000000,Pre-series B
1167,January,Nao Spirits & Beverages Pvt Ltd,2016.0,New Delhi,Beverages,,2000000,Series A
1168,January,PurpleTutor,2019.0,Mumbai,EdTech,IvyCap Ventures,300000,Seed
1169,January,Karkhana.io ,2018.0,Mumbai,Manufacturing startup,Zone Startups In,1500000,Seed
1170,January,SSA Finserv,2019.0,Mumbai,FinTech,Blue Ashva Capital,3000000,Pre-series B
1172,January,Paperfly,2016.0,Bangalore,E-commerce ,Ecom Express,11000000,Pre-series B
1173,January,Infra.Market,2016.0,Thane,E-commerce ,InnoVen Capital,6000000,Series B
1174,January,ReadyAssist,2018.0,Bangalore,Vehicle repair startup,Satish Grampurohit,1000000,Seed
1177,January,Ergos,2012.0,Samsitpur,AgriTech,"CDC Group, Aavishkaar Venture Capital",3000000,Series A
1179,January,Wright Research,2019.0,Mumbai,Advisory firm,"Ajat Hukkoo, Piyush Chaplot",Undisclosed,Pre-seed
1184,January,Phi Commerce,2015.0,Pune,FinTech,"Yatra Angel Network, BEENEXT",4000000,Series A
1187,January,Finsall,2019.0,Bangalore,Insuretech,Unicorn India Ventures,300000,Seed
1188,January,Legalwiz.in ,2015.0,Ahmedabad,Legaltech,ContCentric,500000,Pre-series B
1190,January,Cred,2018.0,Bangalore,FinTech,"DST Global, General Catalyst",81000000,Series C
1191,January,Devic Earth,2018.0,Bangalore,Pollution control equiptment,Blue Ashva Capital,1000000,Pre-series B
1192,January,Zerone,2018.0,Gurgaon,FinTech,Anthill Ventures,1300000,Pre-series A
1194,January,Pocket Aces,2013.0,Mumbai,Media,"3one4 Capital, DSP Group",2000000,Pre-series B
1195,January,Kyt,2020.0,Bangalore,EdTech,Alpha Wave Incubation,5000000,Series A
1196,January,iMumz,2019.0,Bangalore,Healthcare,"Enzia Ventures, AngelList",300000,Pre-series B
1198,January,CropIn,2010.0,Bangalore,AgriTech,"Invested Development, Pratithi Investment Trust",20000000,Series C
1199,January,Udaan,2016.0,Bangalore,E-commerce ,"Octahedron Capital, Moonstone Capital",280000000,Pre-series B
1201,January,Oyo,2012.0,Gurgaon,Hospitality,Hindustan Media Venture,7000000,Series C
1202,January,Agri10x,2018.0,Pune,AgriTech,Omnivore,Undisclosed,Seed
1203,January,BlackSoil,2016.0,Mumbai,FinTech,Awign Enterprises,4000000,Pre-series B
1204,January,HobSpace,2019.0,Mumbai,EdTech,"Siddharth Bhaskar Shah, Upsparks",100000,Pre-series A
1205,January,DcodeAI,2020.0,New Delhi,EdTech,S Chand,500000,Pre-series B
1206,January,Biocon Biologics,1978.0,Bangalore,BioTechnology,"Goldman Sachs, Tata Capital",70000000,Pre-series B
1207,January,KiranaKart,2020.0,Mumbai,E-commerce ,Global Founders Capital,720000,Pre-seed
